Name	Gender	Race	Other Names
Adalbert Bolger	m	Hobbit		
Adaldrida Bolger	f	Hobbit		
Adalgar Bolger	m	Hobbit		
Adalgrim Took	m	Hobbit		
Adamanta Chubb	f	Hobbit		
Adanel	f	Man		
Adelard Took	m	Hobbit		
Adrahil I	m	Man		
Adrahil II	m	Man		
Ar-Adûnakhôr	m	Man	Herunúmen	
Aegnor	m	Elf	Aikanáro, Ambaráto	
Aerandir	m	unknown		
Aerin	f	Man		
Aghan	m	Man		
Ailinel	f	Man		
Alatar	m	Maia		
Tar-Alcarin	m	Man		
Tar-Aldarion	m	Man	Anardil
Aldor	m	Man		
Alfrida	f	Hobbit		
Algund	m	Man		
Almarian	f	Man		
Almiel	f	Man		
Amandil	m	Man		
Tar-Amandil	m	Man	Aphanuzir	
Amaranth Brandybuck	f	Hobbit		
Amarië	f	Elf		
Amdír	m	Elf		
Amethyst Hornblower	f	Hobbit		
Amlach	m	Man		
Amlaith	m	Man		
Amras	m	Elf	Telufinwë, Umbarto	
Amrod	m	Elf	Ambarussa, Pityafinwë	
Amroth	m	Elf		
Anairë	f	Elf		
Anardil	m	Man		
Anárion	m	Man		
Tar-Anárion	m	Man		
Anborn	m	Man		
Ancalagon	m	dragon		
Tar-Ancalimë	f	Man	Emerwen Aranel	
Tar-Ancalimon	m	Man		
Andreth	f	Man	Saelind	
Andróg	m	Man		
Andwise Roper	m	Hobbit	Andy	
Angbor	m	Man		
Angelica Baggins	f	Hobbit		
Angelimar	m	Man		
Angelimir	m	Man		
Angrim	m	Man		
Angrod	m	Elf	Angaráto	
Annael	m	Elf		
Anson Roper	m	Hobbit		
Arador	m	Man		
Araglas	m	Man		
Aragorn I	m	Man		
Aragorn II Elessar	m	Man	Elessar, Estel, Strider	
Aragost	m	Man		
Arahad I	m	Man		
Arahad II	m	Man		
Arahael	m	Man		
Aranarth	m	Man		
Aranuir	m	Man		
Aranwë	m	Elf		
Araphant	m	Man		
Araphor	m	Man		
Arassuil	m	Man		
Aratan	m	Man		
Arathorn I	m	Man		
Arathorn II	m	Man		
Araval	m	Man		
Aravir	m	Man		
Aravorn	m	Man		
Arciryas	m	Man		
Tar-Ardamin	m	Man	Abattârik	
Ardamir	m	Man		
Aredhel	f	Elf	Ar-Feiniel, Írissë	
Argeleb I	m	Man		
Argeleb II	m	Man		
Argon	m	Elf	Arakáno	
Argonui	m	Man		
Arien	f	Maia		
Arminas	m	Elf		
Arod	m	horse		
Arroch	?	horse		
Artamir	m	Man		
Arthad	m	Man		
Arvedui	m	Man		
Arvegil	m	Man		
Arveleg I	m	Man		
Arveleg II	m	Man		
Arwen	f	Half-elf	Undómiel	
Asfaloth	?	horse		
Asgon	m	Man		
Asphodel Brandybuck	f	Hobbit		
Atanalcar	m	Man		
Tar-Atanamir	m	Man		
Atanatar I	m	Man		
Atanatar II	m	Man		
Aulë	m	Vala		
Aulendil	m	Man		
Axantur	m	Man		
Azaghâl	m	Dwarf		
Azog	m	Orc		
Bain	m	Man		
